Time Range,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Apparent Fishing Hours
2023-08-15,ESP,RAMSES DOUS,2023-08-15T01:00:00Z,2023-08-15T03:00:00Z,DRIFTING_LONGLINES,FISHING,224288000,9166053,EAOK,2012-08-08T21:18:48Z,2024-11-12T23:59:22Z,1.40
2023-08-01,ECU,GAVIOTA I,2023-08-01T15:00:00Z,2023-08-05T19:00:00Z,FISHING,FISHING,735059445,,HC-5897,2017-09-20T15:22:30Z,2023-08-05T20:31:39Z,6.92
2023-09-11,ECU,DON F,2023-06-19T22:00:00Z,2023-10-05T13:00:00Z,TUNA_PURSE_SEINES,FISHING,735060354,,HC6655,2023-05-08T22:41:27Z,2024-11-12T23:58:56Z,4.83
2023-09-17,ECU,LIBERTAD I,2023-01-07T16:00:00Z,2023-12-16T18:00:00Z,FISHING,FISHING,735059882,,HC6313,2019-01-22T17:02:51Z,2024-11-12T18:01:05Z,0.50
2023-09-01,NIC,MARIA EULOGIA,2023-06-18T21:00:00Z,2023-09-27T14:00:00Z,TUNA_PURSE_SEINES,FISHING,350108000,8003254,,2012-01-03T05:27:06Z,2024-06-08T14:22:56Z,1.84
2023-09-24,ECU,YARA,2023-09-23T11:00:00Z,2023-09-24T20:00:00Z,DRIFTING_LONGLINES,FISHING,735058806,,HC5156,2014-06-26T23:23:21Z,2024-08-22T05:22:03Z,15.55
2023-10-07,ECU,FORTICA,2023-01-24T23:00:00Z,2023-11-02T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735058781,,HC5135,2020-06-11T14:00:40Z,2024-11-12T23:59:45Z,0.64
2023-11-24,ECU,AIDEE,2023-04-06T15:00:00Z,2023-11-24T05:00:00Z,TUNA_PURSE_SEINES,FISHING,735059463,,HC5568,2017-05-02T15:24:35Z,2024-11-12T23:58:24Z,0.67
2023-12-21,ECU,LA AHIJADA,2023-10-11T23:00:00Z,2023-12-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,735055123,,HC4047,2023-10-07T15:51:34Z,2024-11-12T17:04:05Z,2.30
2023-12-10,ECU,GRINGA JACKY,2023-10-18T18:00:00Z,2023-12-28T16:00:00Z,FISHING,FISHING,735059445,,HC-5897,2023-08-20T04:07:54Z,2024-11-09T22:16:13Z,0.50
2023-03-27,ECU,ALTAR 11,2023-03-27T13:00:00Z,2023-10-05T18:00:00Z,SET_LONGLINES,FISHING,735058309,,HC4978,2021-03-23T17:49:10Z,2024-11-08T13:45:47Z,2.06
2023-06-15,ECU,FORTICA,2023-01-24T23:00:00Z,2023-11-02T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735058781,,HC5135,2020-06-11T14:00:40Z,2024-11-12T23:59:45Z,0.61
2023-06-13,ECU,MI ANTONELLA,2023-06-13T08:00:00Z,2023-06-15T13:00:00Z,DRIFTING_LONGLINES,FISHING,735059855,,HC6288,2023-05-20T20:55:34Z,2023-06-17T14:06:24Z,11.09
2023-06-15,ECU,MI ANTONELLA,2023-06-13T08:00:00Z,2023-06-15T13:00:00Z,DRIFTING_LONGLINES,FISHING,735059855,,HC6288,2023-05-20T20:55:34Z,2023-06-17T14:06:24Z,12.94
2023-09-27,ECU,ADRIANA,2023-01-02T03:00:00Z,2023-10-20T07:00:00Z,TUNA_PURSE_SEINES,FISHING,735058904,,HC5234,2020-08-18T16:47:34Z,2024-10-31T02:13:35Z,14.75
2023-08-24,ESP,PLAYA MUINO VELLO,2023-08-22T22:00:00Z,2023-08-24T20:00:00Z,DRIFTING_LONGLINES,FISHING,224992000,9297632,ECBQ,2015-05-29T23:41:39Z,2024-10-27T00:41:05Z,3.31
2023-09-11,ECU,LIBERTAD I,2023-01-07T16:00:00Z,2023-12-16T18:00:00Z,FISHING,FISHING,735059882,,HC6313,2019-01-22T17:02:51Z,2024-11-12T18:01:05Z,1.08
2023-10-26,ECU,GINNO-D,2023-10-26T01:00:00Z,2023-11-24T16:00:00Z,TUNA_PURSE_SEINES,FISHING,735057604,7383700,HC2929,2022-08-25T16:45:48Z,2024-11-02T11:50:06Z,11.65
2023-10-13,ECU,DON IGILIO,2023-06-17T16:00:00Z,2023-10-27T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735060108,,HC6468,2020-11-13T20:49:01Z,2024-10-14T17:34:25Z,14.34
2023-10-03,ECU,DON F,2023-06-19T22:00:00Z,2023-10-05T13:00:00Z,TUNA_PURSE_SEINES,FISHING,735060354,,HC6655,2023-05-08T22:41:27Z,2024-11-12T23:58:56Z,15.00
2023-10-20,ECU,ADRIANA,2023-01-02T03:00:00Z,2023-10-20T07:00:00Z,TUNA_PURSE_SEINES,FISHING,735058904,,HC5234,2020-08-18T16:47:34Z,2024-10-31T02:13:35Z,3.94
2023-12-31,ECU,LA AHIJADA,2023-10-11T23:00:00Z,2023-12-31T23:00:00Z,DRIFTING_LONGLINES,FISHING,735055123,,HC4047,2023-10-07T15:51:34Z,2024-11-12T17:04:05Z,23.90
2023-12-18,ECU,REY DE ARCA,2023-10-13T15:00:00Z,2023-12-19T21:00:00Z,DRIFTING_LONGLINES,FISHING,735058725,,HC4440,2023-10-06T04:35:05Z,2024-11-12T20:02:10Z,17.60
2023-01-26,ECU,TARQUI,2023-01-26T09:00:00Z,2023-01-30T13:00:00Z,TUNA_PURSE_SEINES,FISHING,735057554,7325162,HC2615,2019-04-26T23:49:49Z,2024-09-21T08:28:05Z,6.18
2023-02-28,ECU,INGRITH,2023-02-28T18:00:00Z,2023-12-19T01:00:00Z,FISHING,FISHING,735058968,,HC5284,2019-02-24T03:53:03Z,2024-11-12T21:12:23Z,7.42
2023-03-23,ECU,TINTORERA,2023-01-03T13:00:00Z,2023-04-15T17:00:00Z,FISHING,FISHING,735059515,,HC-5964,2020-05-31T16:10:36Z,2024-03-08T18:17:43Z,0.92
2023-04-25,ECU,MILAGROS A,2023-04-25T19:00:00Z,2023-04-25T20:00:00Z,TUNA_PURSE_SEINES,FISHING,735057579,7806312,HC-4043,2014-02-09T12:47:03Z,2024-11-07T14:12:44Z,1.19
2023-05-18,ECU,JOTA JOTA,2023-04-07T06:00:00Z,2023-10-01T19:00:00Z,DRIFTING_LONGLINES,FISHING,735058780,,HC2508,2022-01-03T17:28:38Z,2024-11-12T23:56:26Z,21.56
2023-06-25,ECU,ANDREA D,2023-06-23T22:00:00Z,2023-09-13T12:00:00Z,TUNA_PURSE_SEINES,FISHING,735060342,,HC6645,2023-04-18T23:35:19Z,2024-09-28T11:21:39Z,2.42
2023-09-10,ECU,LIBERTAD I,2023-01-07T16:00:00Z,2023-12-16T18:00:00Z,FISHING,FISHING,735059882,,HC6313,2019-01-22T17:02:51Z,2024-11-12T18:01:05Z,17.17
2023-10-01,ECU,ALTAR 11,2023-03-27T13:00:00Z,2023-10-05T18:00:00Z,SET_LONGLINES,FISHING,735058309,,HC4978,2021-03-23T17:49:10Z,2024-11-08T13:45:47Z,15.32
2023-10-03,ECU,ALTAR 11,2023-03-27T13:00:00Z,2023-10-05T18:00:00Z,SET_LONGLINES,FISHING,735058309,,HC4978,2021-03-23T17:49:10Z,2024-11-08T13:45:47Z,21.99
2023-11-07,ECU,OSIRIS,2023-02-18T13:00:00Z,2023-11-07T06:00:00Z,FISHING,FISHING,735059862,,HC6294,2022-09-05T23:19:18Z,2023-11-08T23:00:43Z,4.83
2023-12-23,ECU,SAN ANTONIO 1,2023-08-02T14:00:00Z,2023-12-31T00:00:00Z,DRIFTING_LONGLINES,FISHING,735060242,,HC6568,2023-07-28T00:55:47Z,2024-10-28T04:09:13Z,20.02
2023-01-23,PAN,UPAR,2023-01-01T20:00:00Z,2023-01-24T22:00:00Z,TUNA_PURSE_SEINES,FISHING,372165000,7342304,HP9811,2020-12-02T19:38:50Z,2024-10-27T12:51:22Z,2.15
2023-05-23,ESP,MAR DE SERGIO,2023-05-23T16:00:00Z,2023-05-23T17:00:00Z,TUNA_PURSE_SEINES,FISHING,224733000,8212075,EHNB,2012-03-11T21:29:25Z,2024-11-12T23:57:48Z,1.02
