Lat,Lon,Time Range,flag,Vessel IDs,Apparent Fishing Hours
-0.430000,-90.700000,2023-08-08,ECU,1,1.91
0.910000,-94.210000,2023-09-19,ECU,1,0.38
0.880000,-95.060000,2023-09-20,ECU,1,1.00
3.470000,-94.430000,2023-09-17,ECU,1,1.98
0.530000,-90.740000,2023-09-07,ECU,1,0.75
3.360000,-93.850000,2023-09-24,ECU,1,1.09
3.440000,-90.680000,2023-09-22,ECU,1,0.35
2.810000,-93.700000,2023-09-24,ECU,1,0.87
3.670000,-90.740000,2023-09-21,ECU,1,1.93
-1.670000,-92.060000,2023-09-11,ECU,1,1.02
-1.360000,-89.600000,2023-09-19,ECU,1,0.65
-1.280000,-93.410000,2023-09-30,ECU,1,1.06
-1.350000,-86.170000,2023-09-08,ECU,1,1.25
-2.600000,-91.620000,2023-09-04,ECU,1,0.91
-2.620000,-91.880000,2023-09-03,ECU,1,0.72
-0.670000,-89.270000,2023-09-06,ECU,1,1.00
-0.540000,-94.190000,2023-09-12,ECU,1,1.12
-2.940000,-90.680000,2023-09-27,ECU,1,1.17
-4.070000,-90.970000,2023-09-03,ECU,1,1.15
-4.030000,-90.970000,2023-09-03,ECU,1,1.00
-3.940000,-90.380000,2023-09-02,ECU,1,1.15
-0.970000,-89.410000,2023-09-13,ECU,1,0.50
-2.640000,-90.970000,2023-09-28,ECU,1,0.64
-2.430000,-91.230000,2023-09-28,ECU,1,0.52
-2.330000,-91.280000,2023-09-28,ECU,1,0.72
-0.760000,-94.360000,2023-09-12,ECU,1,1.07
-2.210000,-91.030000,2023-09-30,VEN,1,1.01
1.730000,-89.880000,2023-10-25,ECU,1,0.26
1.480000,-88.930000,2023-10-13,ECU,1,0.94
1.680000,-87.290000,2023-10-10,ECU,1,2.02
0.980000,-88.710000,2023-10-09,ECU,1,0.08
0.800000,-88.750000,2023-10-14,ECU,1,0.11
0.260000,-88.160000,2023-10-10,ECU,1,0.06
0.420000,-86.300000,2023-10-07,ECU,1,1.58
2.700000,-93.350000,2023-10-01,ECU,1,0.09
3.030000,-93.310000,2023-10-05,ECU,1,1.00
0.110000,-93.790000,2023-10-30,ECU,1,0.03
0.150000,-93.470000,2023-10-30,ECU,1,1.03
0.090000,-93.940000,2023-10-14,ECU,1,1.04
3.230000,-90.830000,2023-10-23,ECU,1,0.88
3.440000,-90.750000,2023-10-23,ECU,1,1.33
0.430000,-94.960000,2023-10-07,ECU,1,0.99
0.750000,-94.120000,2023-10-24,ECU,1,1.00
0.780000,-93.060000,2023-10-27,ECU,1,0.98
0.950000,-94.670000,2023-10-28,ECU,1,0.95
0.610000,-93.430000,2023-10-20,ECU,1,0.98
0.780000,-94.140000,2023-10-24,ECU,1,1.00
1.220000,-94.460000,2023-10-21,ECU,1,1.36
0.620000,-93.380000,2023-10-18,ECU,1,0.99
0.380000,-93.580000,2023-10-18,ECU,1,1.01
1.040000,-93.720000,2023-10-26,ECU,1,1.98
-0.370000,-92.410000,2023-10-20,PAN,1,1.00
-1.040000,-93.610000,2023-10-30,ECU,1,1.19
-0.390000,-90.960000,2023-10-29,ECU,1,4.80
-2.130000,-94.040000,2023-10-30,ECU,1,0.93
-2.970000,-91.420000,2023-10-26,ECU,1,1.08
-2.760000,-92.900000,2023-10-27,ECU,1,1.82
-2.730000,-93.430000,2023-10-28,ECU,1,0.76
-0.830000,-94.090000,2023-10-31,ECU,1,1.39
-1.830000,-94.010000,2023-10-30,ECU,1,0.65
-2.570000,-90.730000,2023-10-26,ECU,1,0.56
-2.810000,-90.790000,2023-10-26,ECU,1,1.28
-2.350000,-91.440000,2023-10-27,ECU,1,1.08
-2.590000,-93.180000,2023-10-01,ECU,1,1.20
-2.010000,-87.940000,2023-10-05,ECU,1,1.89
-2.570000,-91.960000,2023-10-27,ECU,1,0.98
-0.460000,-93.660000,2023-10-15,ECU,1,1.02
-0.490000,-93.600000,2023-10-15,ECU,1,0.99
-0.600000,-90.640000,2023-10-15,ECU,1,1.67
-0.410000,-90.290000,2023-10-09,ECU,1,0.58
-0.490000,-90.540000,2023-10-17,ECU,1,0.49
-0.390000,-93.670000,2023-10-15,ECU,1,1.03
-3.600000,-90.860000,2023-10-27,ECU,1,0.25
-3.670000,-90.750000,2023-10-26,ECU,1,1.20
-4.130000,-90.770000,2023-10-22,ECU,1,1.15
-0.560000,-93.260000,2023-10-16,ECU,1,0.56
-1.350000,-86.390000,2023-10-20,ECU,1,0.25
-1.350000,-91.440000,2023-10-16,ECU,1,0.99
-4.550000,-90.490000,2023-10-19,ECU,1,1.00
-4.470000,-90.540000,2023-10-20,ECU,1,1.02
-0.090000,-94.480000,2023-10-22,ECU,1,0.72
-2.410000,-91.560000,2023-10-13,ECU,1,1.20
-0.810000,-90.690000,2023-10-17,ECU,1,1.17
-0.870000,-89.830000,2023-10-10,ECU,1,0.33
-1.550000,-93.030000,2023-10-29,ECU,1,1.56
-2.320000,-87.380000,2023-10-25,ECU,1,1.11
