lat,lon,MODISA_L3m_SST4_Monthly_9km_R2019_0_sst4
-55.70833969116211,-55.54166030883789,6.0389996
-55.70833969116211,-55.45833206176758,5.916
-55.70833969116211,-55.374996185302734,5.7339997
-55.70833969116211,-55.29166030883789,5.4769998
-55.70833969116211,-55.20833206176758,5.398
-55.70833969116211,-55.124996185302734,5.349
-55.70833969116211,-55.04166030883789,5.3059998
-55.70833969116211,-54.95833206176758,5.257
-55.70833969116211,-54.874996185302734,5.191
-55.70833969116211,-54.79166030883789,5.132
-55.70833969116211,-54.70833206176758,5.039
-55.70833969116211,-54.624996185302734,4.995
-55.70833969116211,-54.54166030883789,4.953
-55.70833969116211,-54.45833206176758,4.888
-55.70833969116211,-54.374996185302734,4.953
-55.70833969116211,-54.29166030883789,4.865
-55.70833969116211,-54.20833206176758,4.769
-55.70833969116211,-54.124996185302734,4.792
-55.70833969116211,-54.04166030883789,4.9049997
-55.70833969116211,-53.95833206176758,4.869
-55.70833969116211,-53.874996185302734,4.771
-55.6250114440918,-71.375,6.876
-55.6250114440918,-71.29166412353516,6.91
-55.6250114440918,-71.20833587646484,6.99
-55.6250114440918,-71.125,7.0369997
-55.6250114440918,-71.04166412353516,7.039
-55.6250114440918,-70.95833587646484,7.231
-55.6250114440918,-70.875,7.561
-55.6250114440918,-70.79166412353516,7.8919997
-55.6250114440918,-70.70833587646484,8.09
-55.6250114440918,-70.625,8.174
-55.6250114440918,-70.54166412353516,8.25
-55.6250114440918,-70.45833587646484,8.341
-55.6250114440918,-70.375,8.54
-55.6250114440918,-70.29166412353516,8.623
-55.6250114440918,-70.20833587646484,8.695
-55.6250114440918,-70.125,8.756
-55.6250114440918,-70.04166412353516,8.771
-55.6250114440918,-69.95833587646484,8.63
-55.6250114440918,-69.875,8.721
-55.6250114440918,-69.79166412353516,8.705
-55.6250114440918,-69.70833587646484,8.638
-55.6250114440918,-69.625,8.618
-55.6250114440918,-69.54166412353516,8.625999
-55.6250114440918,-69.45833587646484,8.632
-55.6250114440918,-69.375,8.563
-55.6250114440918,-69.29166412353516,8.5789995
-55.6250114440918,-69.20833587646484,8.514999
-55.6250114440918,-69.125,8.433
-55.6250114440918,-69.04166412353516,8.363
